gwicid,date,month,SGI
130860,2015-04-30,4,-0.48835370950616475
130860,2015-05-31,5,
130860,2015-06-30,6,
130860,2015-07-31,7,
130860,2015-08-31,8,
130860,2015-09-30,9,-0.5461877583728749
130860,2015-10-31,10,
130860,2015-11-30,11,
130860,2015-12-31,12,-1.4655158173621872
130860,2016-01-31,1,
130860,2016-02-29,2,
130860,2016-03-31,3,-1.126107702563112
130860,2016-04-30,4,
130860,2016-05-31,5,
130860,2016-06-30,6,
130860,2016-07-31,7,
130860,2016-08-31,8,
130860,2016-09-30,9,-1.4422188844825303
130860,2016-10-31,10,
130860,2016-11-30,11,
130860,2016-12-31,12,-0.9673631298759846
130860,2017-01-31,1,
130860,2017-02-28,2,
130860,2017-03-31,3,-1.3278501914173453
130860,2017-04-30,4,
130860,2017-05-31,5,-1.46551579998392
130860,2017-06-30,6,
130860,2017-07-31,7,
130860,2017-08-31,8,
130860,2017-09-30,9,
130860,2017-10-31,10,
130860,2017-11-30,11,
130860,2017-12-31,12,-1.1798688217004916
130860,2018-01-31,1,
130860,2018-02-28,2,
130860,2018-03-31,3,
130860,2018-04-30,4,-0.8870206064724637
130860,2018-05-31,5,
130860,2018-06-30,6,-1.7692202358287936
130860,2018-07-31,7,-1.0973234260719178
130860,2018-08-31,8,-0.9300082329394285
130860,2018-09-30,9,-1.1487753822717348
130860,2018-10-31,10,-1.46551579998392
130860,2018-11-30,11,-1.3832325969182595
130860,2018-12-31,12,-1.9811856949296036
130860,2019-01-31,1,-1.3832325969182595
130860,2019-02-28,2,-0.8652137696376831
130860,2019-03-31,3,-1.9149305206431626
130860,2019-04-30,4,-1.5344347325626067
130860,2019-05-31,5,-0.7914320469820626
130860,2019-06-30,6,-1.1098746741395544
130860,2019-07-31,7,-0.6034878831794104
130860,2019-08-31,8,-0.4966516040924176
130860,2019-09-30,9,-0.3311847515387887
130860,2019-10-31,10,-0.05401312631374111
130860,2019-11-30,11,-0.21004571595350718
130860,2019-12-31,12,-0.7914320469820626
130860,2020-01-31,1,-0.6741891400433162
130860,2020-02-29,2,-0.33027322074571774
130860,2020-03-31,3,-0.8614865492048861
130860,2020-04-30,4,-0.15699159100937332
130860,2020-05-31,5,-0.3656620668576882
130860,2020-06-30,6,-0.5499716704672983
130860,2020-07-31,7,0.10428806545459457
130860,2020-08-31,8,-0.17431759052548768
130860,2020-09-30,9,0.06928617423042649
130860,2020-10-31,10,-0.33386924856428646
130860,2020-11-30,11,-0.6741891400433162
130860,2020-12-31,12,-0.6371562619186381
