area,start_date,end_date,value
Paradise Valley,1986-08-01,1986-08-31,41.609065857715905
Bitterroot,1986-09-01,1986-09-30,73.33117597550154
Gallatin,1986-09-01,1986-09-30,48.86622288264334
Paradise Valley,1986-09-01,1986-09-30,66.37465888261795
Bitterroot,1986-10-01,1986-10-31,31.006043206900358
Gallatin,1986-10-01,1986-10-31,18.230160197243094
Paradise Valley,1986-10-01,1986-10-31,20.828231424093246
Bitterroot,1986-11-01,1986-11-30,132.47564697032794
Gallatin,1986-11-01,1986-11-30,31.38371309824288
Paradise Valley,1986-11-01,1986-11-30,95.05371330678463
Bitterroot,1986-12-01,1986-12-31,26.562299724668264
Gallatin,1986-12-01,1986-12-31,6.863280266523361
Paradise Valley,1986-12-01,1986-12-31,7.980051906313747
Bitterroot,1987-01-01,1987-01-31,70.34653087891638
Gallatin,1987-01-01,1987-01-31,10.478025742806494
Paradise Valley,1987-01-01,1987-01-31,38.1407475322485
Bitterroot,1987-02-01,1987-02-28,47.43881444633007
Gallatin,1987-02-01,1987-02-28,12.101059581153095
Paradise Valley,1987-02-01,1987-02-28,36.411257803440094
Bitterroot,1987-03-01,1987-03-31,69.21346756629646
Gallatin,1987-03-01,1987-03-31,22.255083771422505
Paradise Valley,1987-03-01,1987-03-31,47.115093007683754
Bitterroot,1987-04-01,1987-04-30,38.40062616299838
Gallatin,1987-04-01,1987-04-30,17.898092919494957
Paradise Valley,1987-04-01,1987-04-30,24.83283033967018
Bitterroot,1987-05-01,1987-05-31,69.54865097999573
Gallatin,1987-05-01,1987-05-31,107.3648283649236
Paradise Valley,1987-05-01,1987-05-31,98.90573248080909
Bitterroot,1987-06-01,1987-06-30,51.043860018253326
Gallatin,1987-06-01,1987-06-30,42.21820151433349
Paradise Valley,1987-06-01,1987-06-30,42.3150137104094
Bitterroot,1987-07-01,1987-07-31,62.067985493689775
Gallatin,1987-07-01,1987-07-31,104.1772048920393
Paradise Valley,1987-07-01,1987-07-31,99.11897779069841
Bitterroot,1987-08-01,1987-08-31,28.659632951021194
Gallatin,1987-08-01,1987-08-31,58.98128066211939
Paradise Valley,1987-08-01,1987-08-31,44.31071018287912
Bitterroot,1987-09-01,1987-09-30,7.725466679781675
Gallatin,1987-09-01,1987-09-30,15.610551662743092
Paradise Valley,1987-09-01,1987-09-30,15.215561671182513
Bitterroot,1987-10-01,1987-10-31,2.933811664581299
Gallatin,1987-10-01,1987-10-31,1.9591602683067322
Paradise Valley,1987-10-01,1987-10-31,8.317226082086563
Bitterroot,1987-11-01,1987-11-30,55.518450405448675
Gallatin,1987-11-01,1987-11-30,13.823121048044413
Paradise Valley,1987-11-01,1987-11-30,37.2676084972918
